RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1.0,55.0,144.0,2.321928094887362,84.0,20.0,2.0,83.0,2.0,3.0,5.0,23.0,1.0,43.0,0.0,0.0,33.0,66.14285714285714,8.0,1.0,1.0,69.0
1.0,61.0,58.0,4.0,41.0,2.0,2.321928094887362,100.0,23.0,0.0,8.0,7.0,0.0,67.0,0.0,0.0,0.0,78.71428571428571,0.0,1.0835660715315938,0.0,0.0
1.0,67.0,66.0,2.584962500721156,24.0,9.0,0.0,100.0,30.857142857142858,7.0,8.0,9.0,4.0,44.0,0.0,2.321928094887362,53.0,66.0,4.0,1.584962500721156,1.0,86.0
1.0,66.0,169.0,1.0,73.0,28.0,1.0,93.0,76.0,6.0,6.0,30.0,3.0,57.0,0.0,2.584962500721156,72.0,83.0,6.0,2.321928094887362,2.0,91.0
1.0,81.0,333.0,4.807354922057604,132.0,12.0,0.0,100.0,37.0,7.0,8.0,12.0,0.0,25.0,0.0,1.0,51.0,89.0,3.0,1.0,0.0,80.0
1.0,59.0,137.0,3.584962500721156,78.0,31.0,0.0,91.0,1.0,4.0,6.0,32.0,1.0,47.0,0.0,0.0,62.0,93.0,12.0,2.321928094887362,2.0,94.0
0.0,54.0,88.0,3.0,37.0,25.0,0.0,92.0,9.0,4.0,6.0,26.0,3.0,58.0,0.0,2.321928094887362,89.0,76.0,7.0,3.0,1.584962500721156,100.0
0.0,68.0,148.0,3.0,65.0,17.0,0.0,83.0,31.0,6.0,6.0,18.0,1.0,44.0,0.0,0.0,28.0,48.0,2.0,1.584962500721156,1.584962500721156,40.0
1.0,59.0,324.0,1.584962500721156,138.0,24.0,0.0,85.0,5.0,4.0,6.0,27.0,1.0,26.0,0.0,1.0,68.0,76.85714285714286,7.0,1.0,2.0,90.0
1.0,61.0,79.0,2.321928094887362,36.0,19.0,0.0,95.0,5.0,4.0,6.0,19.0,3.0,26.0,0.0,2.807354922057604,31.0,86.0,5.0,2.0,1.0,62.0
0.0,82.0,96.0,2.584962500721156,47.0,16.0,0.0,100.0,55.857142857142854,7.0,8.0,16.0,3.0,31.0,0.0,0.0,15.0,88.0,4.0,1.584962500721156,0.0,67.0
1.0,50.0,311.0,4.700439718141092,76.0,12.0,1.0,60.0,2.0,3.0,5.0,15.0,0.0,20.0,0.0,1.0,84.0,64.0,5.0,1.584962500721156,1.584962500721156,88.0
1.0,74.0,274.0,1.584962500721156,66.0,23.0,0.0,100.0,20.571428571428573,6.0,8.0,28.0,4.0,39.0,0.0,1.584962500721156,18.0,65.0,3.0,2.584962500721156,1.0,67.0
0.0,69.0,256.0,2.807354922057604,117.0,11.0,1.0,100.0,35.714285714285715,7.0,8.0,14.0,1.0,8.0,0.0,0.0,13.0,55.57142857142857,2.0,1.0835660715315938,0.0,67.0
1.0,63.0,262.0,4.754887502163468,95.0,3.0,1.584962500721156,75.0,27.0,6.0,4.0,6.0,0.0,100.0,0.0,0.0,57.42857142857143,68.28571428571429,1.4285714285714286,1.0,0.8221267860233527,100.0
1.0,63.0,184.0,2.0,77.0,34.0,0.0,97.0,32.0,6.0,6.0,36.0,2.0,36.0,0.0,3.584962500721156,71.0,80.0,10.0,1.584962500721156,2.0,82.0
