,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,1,55.0,144.0,2.321928094887362,84,20,2.0,83,2.0,3,5,23,1,43,0.0,0.0,33.0,,8.0,1.0,1.0,69.0
1,1,61.0,58.0,4.0,41,2,2.321928094887362,100,,0,8,7,0,67,0.0,0.0,0.0,,0.0,,,0.0
2,1,67.0,66.0,2.584962500721156,24,9,0.0,100,,7,8,9,4,44,0.0,2.321928094887362,53.0,66.0,4.0,1.584962500721156,1.0,86.0
3,1,66.0,169.0,1.0,73,28,1.0,93,76.0,6,6,30,3,57,0.0,2.584962500721156,72.0,83.0,6.0,2.321928094887362,2.0,91.0
4,1,81.0,333.0,4.807354922057604,132,12,0.0,100,,7,8,12,0,25,0.0,1.0,51.0,89.0,3.0,1.0,0.0,80.0
5,1,59.0,137.0,3.584962500721156,78,31,0.0,91,1.0,4,6,32,1,47,0.0,0.0,62.0,93.0,12.0,2.321928094887362,2.0,94.0
6,0,54.0,88.0,3.0,37,25,0.0,92,9.0,4,6,26,3,58,0.0,2.321928094887362,89.0,76.0,7.0,3.0,1.584962500721156,100.0
7,0,68.0,148.0,3.0,65,17,0.0,83,31.0,6,6,18,1,44,0.0,0.0,28.0,48.0,2.0,1.584962500721156,1.584962500721156,40.0
8,1,59.0,324.0,1.584962500721156,138,24,0.0,85,5.0,4,6,27,1,26,0.0,1.0,68.0,,7.0,1.0,2.0,90.0
9,1,61.0,79.0,2.321928094887362,36,19,0.0,95,5.0,4,6,19,3,26,0.0,2.807354922057604,31.0,86.0,5.0,2.0,1.0,62.0
10,0,82.0,96.0,2.584962500721156,47,16,0.0,100,,7,8,16,3,31,0.0,0.0,15.0,88.0,4.0,1.584962500721156,0.0,67.0
11,1,50.0,311.0,4.700439718141092,76,12,1.0,60,2.0,3,5,15,0,20,0.0,1.0,84.0,64.0,5.0,1.584962500721156,1.584962500721156,88.0
12,1,74.0,274.0,1.584962500721156,66,23,0.0,100,,6,8,28,4,39,0.0,1.584962500721156,18.0,65.0,3.0,2.584962500721156,1.0,67.0
13,0,69.0,256.0,2.807354922057604,117,11,1.0,100,,7,8,14,1,8,0.0,0.0,13.0,,2.0,,0.0,67.0
14,1,63.0,262.0,4.754887502163468,95,3,1.584962500721156,75,27.0,6,4,6,0,100,0.0,0.0,,,,1.0,,100.0
15,1,63.0,184.0,2.0,77,34,0.0,97,32.0,6,6,36,2,36,0.0,3.584962500721156,71.0,80.0,10.0,1.584962500721156,2.0,82.0
16,1,61.0,256.0,4.321928094887363,68,14,0.0,87,0.0,4,6,15,0,33,0.0,1.584962500721156,62.0,68.0,3.0,2.0,1.0,86.0
17,1,62.0,131.0,2.321928094887362,59,16,2.321928094887362,79,23.0,6,5,20,4,58,0.0,2.321928094887362,25.0,91.0,3.0,2.321928094887362,1.0,70.0
18,1,89.0,244.0,3.321928094887362,147,10,0.0,100,,7,8,10,1,10,0.0,0.0,3.0,,2.0,,0.0,50.0
19,1,65.0,43.0,1.584962500721156,26,15,1.0,100,,7,8,17,2,25,0.0,2.321928094887362,31.0,83.0,5.0,1.0,0.0,75.0
20,1,57.0,147.0,2.321928094887362,73,27,1.0,97,1.0,0,2,31,2,48,0.0,2.321928094887362,44.0,87.0,3.0,1.584962500721156,2.0,56.0
21,1,72.0,365.0,3.584962500721156,83,22,0.0,100,,7,8,22,1,41,0.0,0.0,49.0,23.0,6.0,1.584962500721156,1.0,73.0
22,0,72.0,84.0,2.321928094887362,53,29,0.0,100,,7,8,30,2,27,0.0,1.0,43.0,48.0,9.0,2.584962500721156,2.0,64.0
23,1,65.0,88.0,3.321928094887362,45,20,0.0,85,1.0,4,6,20,1,20,0.0,0.0,14.0,71.0,4.0,1.584962500721156,1.0,50.0
24,1,64.0,91.0,2.321928094887362,55,19,1.0,90,0.0,0,2,20,2,50,0.0,1.584962500721156,24.0,81.0,6.0,2.0,1.0,82.0
25,1,58.0,265.0,2.0,79,25,1.584962500721156,93,13.0,0,5,28,2,48,0.0,1.0,63.0,50.0,8.0,1.584962500721156,0.0,91.0
26,1,58.0,150.0,4.087462841250339,72,18,1.584962500721156,55,4.0,4,5,22,0,45,0.0,1.0,79.0,38.0,7.0,2.0,0.0,91.0
27,1,79.0,162.0,3.0,94,17,0.0,100,,7,8,17,1,29,0.0,0.0,28.0,,3.0,1.0,1.0,57.0
28,1,66.0,284.0,5.044394119358453,107,15,1.584962500721156,82,3.0,4,4,17,0,53,0.0,1.0,19.0,50.0,3.0,1.584962500721156,1.0,63.0
29,1,69.0,476.0,3.169925001442312,157,38,2.321928094887362,100,,6,8,39,1,36,0.0,2.321928094887362,50.0,54.0,14.0,1.584962500721156,2.321928094887362,89.0
30,0,71.0,179.0,2.0,62,15,2.0,83,37.0,6,2,18,4,33,0.0,2.584962500721156,5.0,9.0,1.0,1.0,0.0,22.0
31,1,54.0,114.0,3.700439718141092,49,9,2.0,64,4.0,0,2,12,0,27,0.0,0.0,62.0,14.0,6.0,1.584962500721156,1.0,100.0
32,1,68.0,133.0,3.0,44,39,1.584962500721156,100,,6,8,39,4,67,0.0,1.584962500721156,15.0,73.0,5.0,1.584962500721156,0.0,50.0
33,0,75.0,164.0,2.321928094887362,66,19,0.0,100,,7,8,19,2,21,0.0,0.0,53.0,92.0,5.0,1.0,1.0,55.0
34,1,67.0,118.0,2.807354922057604,37,23,1.584962500721156,88,70.0,6,2,26,5,42,0.0,0.0,31.0,70.0,5.0,2.0,1.0,67.0
35,0,88.0,153.0,5.087462841250339,92,13,0.0,100,,7,8,14,0,7,0.0,0.0,1.0,,1.0,,0.0,25.0
36,1,51.0,186.0,3.807354922057604,96,22,2.0,84,2.0,0,2,25,0,56,0.0,2.321928094887362,79.0,50.0,5.0,2.0,2.0,100.0
37,1,70.0,127.0,4.700439718141092,57,23,0.0,96,,6,6,24,0,13,0.0,0.0,51.0,,9.0,,1.0,67.0
38,1,65.0,116.0,3.4594316186372973,37,14,1.0,93,72.0,6,2,15,1,13,0.0,1.584962500721156,52.0,,3.0,1.0,1.584962500721156,56.0
39,1,78.0,21.0,2.321928094887362,13,11,0.0,100,,7,8,11,5,64,0.0,2.0,7.0,,3.0,,0.0,75.0
40,0,86.0,318.0,4.247927513443585,90,13,0.0,100,,7,8,13,0,62,0.0,0.0,0.0,44.0,0.0,1.584962500721156,,50.0
41,0,90.0,230.0,3.807354922057604,73,11,0.0,100,,7,8,13,0,62,0.0,0.0,1.0,71.0,1.0,2.321928094887362,0.0,71.0
42,1,76.0,293.0,2.321928094887362,74,33,0.0,100,,7,8,34,1,38,0.0,1.584962500721156,37.0,,13.0,1.0,0.0,88.0
43,1,70.0,37.0,2.321928094887362,20,19,0.0,100,,7,8,20,2,20,0.0,2.0,42.0,73.0,2.0,1.584962500721156,1.0,50.0
45,1,72.0,209.0,1.584962500721156,95,41,0.0,100,,7,8,42,3,38,0.0,1.0,42.0,,7.0,1.584962500721156,1.584962500721156,82.0
46,0,83.0,398.0,2.0,118,29,0.0,100,,7,8,29,2,31,0.0,2.0,22.0,87.0,6.0,2.0,0.0,69.0
47,0,87.0,326.0,3.0,111,26,0.0,100,,7,8,30,1,40,0.0,0.0,12.0,89.0,3.0,1.584962500721156,0.0,56.0
48,1,55.0,114.0,2.807354922057604,59,19,0.0,89,5.0,4,6,19,1,53,0.0,1.0,97.0,90.0,8.0,1.584962500721156,2.807354922057604,100.0
49,1,65.0,478.0,3.700439718141092,97,44,0.0,89,1.0,4,6,47,0,32,0.0,3.321928094887362,63.0,,9.0,,2.807354922057604,60.0
50,1,78.0,197.0,4.584962500721156,91,15,0.0,100,,7,8,17,0,41,0.0,2.584962500721156,57.0,32.0,2.0,1.584962500721156,,67.0
51,0,79.0,243.0,4.169925001442312,77,35,0.0,97,67.0,6,6,39,0,36,0.0,1.584962500721156,20.0,,4.0,1.0,0.0,56.0
52,1,75.0,183.0,4.247927513443585,92,21,0.0,100,,7,8,22,0,27,0.0,0.0,88.0,91.0,9.0,2.0,2.584962500721156,93.0
53,1,70.0,176.0,3.169925001442312,96,20,0.0,95,17.0,5,6,20,1,30,0.0,0.0,74.0,71.0,8.0,2.321928094887362,2.0,86.0
54,1,78.0,368.0,2.807354922057604,74,42,0.0,98,23.0,5,6,43,3,49,0.0,2.0,10.0,19.0,8.0,1.584962500721156,0.0,67.0
56,1,75.0,300.0,3.9068905956085187,124,22,0.0,100,,7,8,23,0,39,0.0,0.0,57.0,,4.0,1.0,1.0,100.0
57,1,76.0,150.0,3.584962500721156,54,14,0.0,100,,7,8,15,1,40,0.0,0.0,32.0,96.0,4.0,1.584962500721156,0.0,75.0
58,1,72.0,168.0,3.169925001442312,62,10,0.0,100,,7,8,11,1,18,0.0,2.584962500721156,60.0,82.0,7.0,1.0,0.0,100.0
59,1,55.0,118.0,2.321928094887362,69,12,3.0,50,4.0,3,3,22,2,27,0.0,1.584962500721156,79.0,79.0,5.0,1.584962500721156,1.584962500721156,88.0
60,1,74.0,277.0,4.954196310386875,123,24,0.0,88,12.0,6,6,24,0,25,0.0,0.0,45.0,,12.0,1.0,1.584962500721156,93.0
61,1,63.0,174.0,1.0,62,11,1.0,79,5.0,3,5,14,1,29,0.0,2.584962500721156,37.0,101.0,5.0,1.584962500721156,1.584962500721156,70.0
62,1,81.0,137.0,3.321928094887362,66,34,0.0,100,,7,8,34,1,62,0.0,1.0,24.0,92.0,3.0,2.321928094887362,0.0,78.0
63,0,81.0,126.0,3.321928094887362,78,18,0.0,100,,7,8,18,1,83,0.0,0.0,0.0,64.0,1.0,2.0,,80.0
65,1,59.0,243.0,3.584962500721156,79,38,1.0,76,7.0,4,6,43,1,50,0.0,1.0,63.0,78.0,7.0,2.321928094887362,2.321928094887362,86.0
68,1,66.0,176.0,3.584962500721156,81,43,0.0,98,3.0,4,6,44,1,39,0.0,1.584962500721156,36.0,64.0,3.0,2.321928094887362,1.0,47.0
69,1,72.0,169.0,2.584962500721156,60,21,1.0,96,30.0,6,3,23,1,52,0.0,2.321928094887362,66.0,82.0,4.0,2.0,1.0,78.0
71,0,73.0,409.0,3.0,94,38,0.0,100,,7,8,39,2,18,0.0,1.0,27.0,69.0,11.0,1.584962500721156,1.584962500721156,72.0
72,1,86.0,419.0,3.4594316186372973,122,17,0.0,100,,7,8,18,1,72,0.0,0.0,0.0,36.0,0.0,1.584962500721156,,50.0
73,1,91.0,282.0,6.658211482751795,209,6,0.0,100,,7,8,7,0,43,0.0,0.0,0.0,,0.0,,,0.0
74,0,73.0,324.0,4.0,89,19,0.0,89,9.0,4,6,19,0,21,0.0,0.0,34.0,36.0,6.0,2.0,1.0,64.0
75,0,78.0,134.0,1.584962500721156,63,35,0.0,93,32.0,6,6,40,3,40,0.0,0.0,22.0,55.0,5.0,2.321928094887362,0.0,60.0
76,1,65.0,155.0,3.169925001442312,37,20,1.0,95,8.0,4,6,21,1,38,0.0,1.584962500721156,49.0,87.0,5.0,2.584962500721156,1.0,67.0
77,1,75.0,70.0,1.0,38,8,0.0,100,,7,8,9,1,78,0.0,2.321928094887362,17.0,,2.0,1.0,,100.0
78,0,84.0,277.0,3.169925001442312,109,8,0.0,100,,7,8,8,1,50,0.0,0.0,33.0,,2.0,1.0,0.0,100.0
79,0,75.0,294.0,3.700439718141092,94,39,0.0,98,,6,6,40,0,35,0.0,1.584962500721156,17.0,,6.0,2.584962500721156,0.0,61.0
80,0,60.0,357.0,4.169925001442312,141,9,2.321928094887362,67,3.0,3,4,13,0,50,0.0,1.0,28.0,,4.0,,,100.0
81,0,68.0,106.0,2.0,54,29,1.0,87,51.0,6,2,31,2,65,0.0,1.0,85.0,73.0,3.0,2.584962500721156,1.584962500721156,100.0
82,1,67.0,85.0,3.0,44,15,1.0,93,45.0,6,6,16,2,33,0.0,0.0,59.0,62.0,3.0,1.584962500721156,1.584962500721156,83.0
83,1,71.0,282.0,1.0,73,22,0.0,96,,6,6,25,5,4,0.0,1.584962500721156,37.0,39.0,11.0,1.0,1.0,80.0
84,1,50.0,204.0,1.584962500721156,91,23,1.584962500721156,82,1.0,3,5,28,2,32,0.0,2.807354922057604,32.0,,5.0,,0.0,67.0
85,1,62.0,151.0,4.321928094887363,99,5,1.0,80,16.0,6,6,6,0,80,0.0,0.0,40.0,75.0,1.0,1.584962500721156,0.0,100.0
87,1,70.0,333.0,1.584962500721156,75,16,0.0,100,,5,8,20,8,30,0.0,0.0,78.0,92.0,6.0,1.584962500721156,2.321928094887362,67.0
88,1,58.0,307.0,2.807354922057604,79,14,1.0,73,18.0,6,5,15,2,53,0.0,0.0,81.0,75.0,3.0,2.0,1.584962500721156,86.0
89,0,,17.0,4.169925001442312,17,1,0.0,100,,9,8,1,0,100,0.0,0.0,,,,,,
90,0,88.0,188.0,3.807354922057604,82,20,0.0,100,,7,8,20,0,40,0.0,0.0,17.0,82.0,2.0,1.584962500721156,0.0,50.0
91,1,65.0,107.0,3.0,48,40,0.0,100,,6,8,43,4,42,0.0,1.584962500721156,80.0,86.0,5.0,1.584962500721156,2.321928094887362,70.0
92,1,74.0,169.0,2.584962500721156,78,26,0.0,96,76.0,6,6,27,2,37,0.0,1.0,37.0,91.0,5.0,2.321928094887362,0.0,75.0
93,1,78.0,282.0,1.584962500721156,95,23,0.0,100,,7,8,24,1,13,0.0,1.0,22.0,,4.0,1.0,1.0,43.0
94,0,74.0,378.0,3.0,110,41,0.0,98,35.0,6,6,42,4,57,0.0,0.0,44.0,76.0,4.0,2.584962500721156,1.584962500721156,69.0
95,0,77.0,311.0,3.584962500721156,103,39,0.0,98,,6,6,42,1,36,0.0,0.0,46.0,73.0,5.0,2.321928094887362,1.0,69.0
96,1,67.0,299.0,1.584962500721156,79,25,0.0,89,15.0,5,6,27,3,37,0.0,3.700439718141092,63.0,63.0,13.0,2.0,2.321928094887362,94.0
97,0,56.0,76.0,2.807354922057604,32,11,1.584962500721156,92,15.0,5,2,14,5,17,0.0,2.0,83.0,42.0,5.0,1.584962500721156,1.584962500721156,100.0
98,0,88.0,211.0,4.392317422778761,103,13,0.0,100,,7,8,14,0,57,,0.0,0.0,19.0,2.0,2.0,0.0,71.0
99,1,75.0,169.0,1.584962500721156,59,21,0.0,100,,7,8,22,4,36,,2.321928094887362,43.0,112.0,4.0,2.807354922057604,0.0,83.0
100,1,66.0,127.0,1.584962500721156,69,17,0.0,94,16.0,6,6,18,4,33,,2.0,42.0,81.0,3.0,2.321928094887362,2.0,58.0
101,0,81.0,220.0,1.584962500721156,91,20,0.0,100,,7,8,23,2,39,,1.584962500721156,36.0,,3.0,1.0,1.0,67.0
102,1,71.0,177.0,3.169925001442312,95,24,0.0,96,,6,6,24,1,75,,1.0,87.0,87.0,4.0,1.584962500721156,2.0,100.0
103,1,69.0,112.0,1.584962500721156,43,5,0.0,100,,7,8,7,2,43,,1.0,37.0,58.0,3.0,1.584962500721156,0.0,83.0
104,0,74.0,150.0,3.807354922057604,91,13,1.0,93,35.0,6,2,14,0,29,,0.0,36.0,,1.0,1.0,1.0,40.0
105,1,56.0,224.0,4.459431618637297,109,27,1.0,79,4.0,4,6,28,0,21,,1.0,101.0,79.0,15.0,1.0,3.584962500721156,94.0
106,1,65.0,243.0,3.321928094887362,89,23,0.0,83,2.0,4,6,23,1,52,,0.0,49.0,75.0,4.0,2.321928094887362,1.0,80.0
108,0,92.0,152.0,4.0,154,14,0.0,100,,7,8,15,0,47,,0.0,7.0,79.0,2.0,1.584962500721156,0.0,80.0
109,0,91.0,150.0,2.0,108,10,0.0,100,,7,8,11,1,64,,1.0,2.0,41.0,1.0,2.0,0.0,67.0
110,0,73.0,183.0,2.807354922057604,90,19,1.0,100,,7,8,19,1,32,,0.0,6.0,52.0,1.0,1.584962500721156,0.0,50.0
111,1,66.0,255.0,1.0,80,14,1.0,88,9.0,4,6,16,3,69,,2.321928094887362,58.0,60.0,3.0,2.321928094887362,1.0,88.0
113,1,87.0,120.0,3.700439718141092,59,26,0.0,100,,7,8,26,0,54,,1.0,1.0,,2.0,1.0,0.0,75.0
114,1,64.0,246.0,4.087462841250339,106,5,2.0,88,57.0,6,3,8,0,88,,1.0,,144.0,,2.321928094887362,,100.0
116,1,63.0,123.0,1.584962500721156,40,5,1.0,86,29.0,6,4,7,4,43,,0.0,77.0,,3.0,1.0,1.0,100.0
117,0,78.0,177.0,1.0,65,26,0.0,96,,6,6,28,3,46,,1.0,4.0,72.0,4.0,2.584962500721156,0.0,64.0
119,1,75.0,212.0,4.584962500721156,105,11,0.0,82,21.0,6,6,11,0,45,,1.0,13.0,,1.0,1.0,0.0,100.0
120,0,68.0,224.0,3.321928094887362,110,24,2.584962500721156,86,25.0,6,2,29,1,31,,2.584962500721156,5.0,73.0,2.0,1.584962500721156,,71.0
121,1,61.0,208.0,2.807354922057604,96,24,2.0,74,44.0,6,2,27,3,63,,1.584962500721156,53.0,77.0,6.0,2.321928094887362,1.584962500721156,92.0
122,1,63.0,203.0,1.584962500721156,79,16,0.0,59,3.0,4,6,17,1,47,,2.0,55.0,77.0,7.0,2.0,1.0,91.0
123,1,69.0,160.0,2.584962500721156,109,11,1.0,92,20.0,6,3,13,1,31,,0.0,94.0,,3.0,1.584962500721156,2.0,100.0
125,1,49.0,103.0,2.321928094887362,48,10,3.700439718141092,53,7.0,0,2,17,1,35,,1.584962500721156,37.0,66.0,5.0,1.584962500721156,0.0,80.0
126,1,74.0,159.0,3.321928094887362,69,26,0.0,100,,6,7,27,2,48,,0.0,61.0,67.0,3.0,2.321928094887362,1.584962500721156,78.0
127,1,65.0,241.0,5.247927513443585,95,15,0.0,76,0.0,4,6,17,0,29,,1.0,51.0,43.0,3.0,1.0,1.0,80.0
128,1,80.0,203.0,2.807354922057604,91,15,0.0,100,,7,8,17,1,29,,0.0,16.0,93.0,6.0,1.584962500721156,1.0,69.0
129,1,61.0,61.0,3.4594316186372973,41,9,0.0,80,,5,6,10,1,50,,1.584962500721156,80.0,95.0,4.0,2.0,1.0,100.0
130,1,57.0,178.0,1.584962500721156,79,23,0.0,92,2.0,4,6,26,2,58,,2.0,57.0,77.0,5.0,1.584962500721156,1.0,100.0
131,1,59.0,131.0,3.0,81,13,1.0,69,5.0,4,5,17,1,50,,1.584962500721156,75.0,,3.0,1.584962500721156,1.0,100.0
132,1,71.0,103.0,4.0,94,6,1.0,86,13.0,6,5,7,0,14,,0.0,48.0,,2.0,,0.0,67.0
133,0,86.0,168.0,4.0,85,33,0.0,97,51.0,6,6,34,0,38,,0.0,3.0,,3.0,1.584962500721156,0.0,56.0
134,0,83.0,106.0,2.0,62,28,0.0,100,,7,8,28,5,11,,2.321928094887362,17.0,,2.0,1.0,0.0,60.0
136,1,59.0,198.0,2.807354922057604,89,29,2.0,79,21.0,6,2,34,1,38,,2.0,38.0,98.0,11.0,1.0,1.0,86.0
137,1,59.0,256.0,0.0,50,11,1.0,44,1.0,4,5,16,1,75,,1.0,93.0,74.0,3.0,2.807354922057604,1.584962500721156,90.0
139,0,55.0,203.0,3.0,81,19,1.584962500721156,86,3.0,3,5,21,2,33,,2.0,56.0,87.0,3.0,1.584962500721156,1.0,83.0
140,0,75.0,258.0,4.857980995127572,97,23,0.0,96,,6,6,24,0,13,,0.0,31.0,,4.0,,0.0,57.0
141,1,78.0,41.0,2.0,16,3,0.0,100,,7,8,3,2,67,,4.087462841250339,0.0,,0.0,1.0,,50.0
