nombre,model,accuracy,precision,recall,f1
LogisticRegression,LogisticRegression(),0.7042833607907742,0.6877033629876249,0.6626127924331517,0.6674556303316088
GaussianNB,GaussianNB(),0.7018121911037891,0.6838440301918848,0.683690636744529,0.6837668094317031
KNeighborsClassifier,KNeighborsClassifier(),0.6383855024711697,0.6088878317575469,0.5987844131556707,0.6002418294427346
NearestCentroid,NearestCentroid(),0.6107907742998353,0.5941747437611408,0.5972829116541691,0.5947540531924382
RandomForestClassifier,RandomForestClassifier(),0.7055189456342669,0.6897131015612425,0.6627793062523601,0.6677106735040405
SVC,SVC(),0.6869851729818781,0.6833352505217491,0.6203700706694719,0.6169822364843267
AdaBoostClassifier,AdaBoostClassifier(),0.6890444810543658,0.6680191761744068,0.6534221646796496,0.6571072424156437
GradientBoostingClassifier,GradientBoostingClassifier(),0.7079901153212521,0.6906263530090923,0.6710114905324486,0.6758069130100628
XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",0.6812191103789127,0.6589637609039283,0.6464778551006096,0.6497293670319839
HistGradientBoostingClassifier,HistGradientBoostingClassifier(),0.6915156507413509,0.6708588224574501,0.6564575353796911,0.6602079777429621
